Name,Location,Amount,Mobile No,Payment type,Observation
Mad Max,Pakistan,90200,37223322,Instant,1
Osama bin Laden,Afganistan,1050000,3791223390,Instant,1
Ajay Sutar,India,4500,90245898,Secure,0
Jack Ford,France,2040000,9234567788,Instant,1
Sam Walton,Dubai,34500,9021603434,Secure,0
Mosco Warden,Germany,4500000,3798343255,Instant,1
Rafiq Hussen,Pakistan,34000,9860123444,Secure,0
Ali Hazar,Pakistan,1500000,9021502121,Secure,0
Kailash Khair,Afganistan,50000,9021407878,Instant,1
Arun Gavli,India,2300000,9234373878,Instant,1
Ratan Tata,India,3000000,9021602121,Secure,0
Sultan Mirza,India,34000,9293866727,Secure,0
Manya Surve,India,1800000,3791223339,Instant,1
Surya Pawar,Nepal,340000,9237975896,Instant,1
Don Bosco,Australia,45600,9237978368,Secure,0
Green Walton,U.S,56700,9237978358,Secure,0
Stifin Robert,U.S,3400,9237978667,Secure,0
Stumpil Bill,U.S,345000,9237976968,Instant,1
Lisa Dannies,Scotland,45990,9237975567,Secure,0
Ashish Shukla,India,3400,9554478344,Secure,0
Frad Wang,Japan,4600,9885578356,Secure,0
Jhon Cena,China,1200,9236768365,Secure,0
Martin Moris,U.S,560000,9236677355,Instant,1
Stiffin Robert,Dubai,3000,9239585368,Secure,0
Salim Shaikh,Dubai,2000,9234858359,Secure,0
Azad Varma,Pakistan,478000,9233748368,Instant,1
Kamal Kumar,India,4500,9234978369,Secure,0
Robert Gill,U.S,2340,9237978348,Secure,0
Sunit Dube,Pakistan,4700,9237978342,Secure,0
